episode,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_entropy,space_complexity
51,300,9.375,0.15400017601430185,,16,0.6013025641441345,33795
52,364,11.375,1.4300000001576308e-05,,16,0.7068233489990234,33795
53,330,10.3125,1.6588015400000352e-07,,16,0.42317187786102295,33795
54,424,13.25,0.056437865002332,,16,0.5977914333343506,33795
55,398,12.4375,13.355760144778742,,16,0.006363303866237402,33795
56,500,15.625,0.2090066022000019,,16,0.33710312843322754,33795
57,292,9.125,1.1001556500898708e-07,,16,0.6990447044372559,33795
58,252,7.875,0.0012100000000002502,,16,0.695360541343689,33795
59,330,10.3125,1.4300018702420008e-05,,16,0.6764962673187256,33795
60,318,9.9375,0.002530001320099119,,16,2.558604370039852e-11,33795
61,472,14.75,2.201656600025421,,16,0.7536274194717407,33795
62,612,19.125,13.355760034110013,,16,0.4912171959877014,33795
63,326,10.1875,12.100018700117822,,16,0.6271002292633057,33795
64,358,11.1875,1.100000144666676,,16,0.36574387550354004,33795
65,266,8.3125,1.9844015488000004e-05,,16,0.6381521821022034,33795
66,450,14.0625,12.102090144879899,,16,0.5020267367362976,33795
67,140,4.375,1.4300777700000257e-09,,16,0.4489900469779968,33795
68,314,9.8125,1.1000177442100019,,16,0.23533275723457336,33795
69,292,9.125,6.765000045100034,,16,0.09603865444660187,33795
70,364,11.375,7.701100155540145,,16,0.060328926891088486,33795
71,362,11.3125,0.0018700017711112524,,16,0.1252710074186325,33795
72,234,7.3125,8.800006600000369e-06,,16,0.4640907645225525,33795
73,248,7.75,5.544015544540033,,16,0.05005386844277382,33795
74,460,14.375,0.19801870176776684,,16,0.2504483163356781,33795
75,424,13.25,12.102310000234299,,16,0.333923876285553,33795
76,420,13.125,6.755662221000001,,16,0.6806691884994507,33795
77,270,8.4375,0.0008800015400012106,,16,0.43057781457901,33795
78,272,8.5,5.6101100000212204e-06,,16,0.3449607193470001,33795
79,366,11.4375,2.2000155324401764,,16,0.04953470826148987,33795
80,272,8.5,0.05589659900005502,,16,0.3756091594696045,33795
81,320,10.0,0.19888000000001105,,16,0.011341750621795654,33795
82,350,10.9375,5.544892376870367e-10,,16,0.6479528546333313,33795
83,270,8.4375,1.1000000015498999,,16,0.2696053683757782,33795
84,394,12.3125,0.18898000210540009,,16,0.0005259293830022216,33795
85,252,7.875,0.0018866334300220002,,16,0.7014157772064209,33795
86,484,15.125,0.14433100033440013,,16,0.7205256223678589,33795
87,316,9.875,0.011110176003301338,,16,0.7262611389160156,33795
88,336,10.5,0.0004402761000000214,,16,0.03981681540608406,33795
89,452,14.125,13.2000187,,15,0.620123028755188,33795
90,292,9.125,0.0009988000210870006,,16,0.005081132519990206,33795
91,284,8.875,4.455000000660144,,16,0.027348730713129044,33795
92,174,5.4375,0.00011000000018713643,,16,0.028579890727996826,33795
93,282,8.8125,0.04422009900000003,,15,0.34649717807769775,33795
94,386,12.0625,4.400440000661156,,16,0.6623778343200684,33795
95,330,10.3125,5.501210000000198,,16,0.6623005867004395,33795
96,358,11.1875,9.99901760198,,16,0.2306591123342514,33795
97,318,9.9375,11.022000000019942,,16,0.29659318923950195,33795
98,230,7.1875,0.07700000177667776,,16,0.26900941133499146,33795
99,350,10.9375,0.1445455990000006,,16,0.2893216013908386,33795
100,444,13.875,0.1555444019833026,,16,0.21530190110206604,33795
101,346,10.8125,3.300000154000001,,16,0.12467866390943527,33795
102,336,10.5,0.19801997601760202,,16,0.5627110004425049,33795
103,422,13.1875,0.0017722437843000216,,16,0.24222734570503235,33795
104,304,9.5,0.16533330001993327,,16,0.27691423892974854,33795
105,392,12.25,4.400016577880223e-06,,16,0.4570080637931824,33795
106,530,16.5625,13.311320154550241,,16,0.47786542773246765,33795
107,410,12.8125,6.754000002211143,,16,0.24025072157382965,33795
108,302,9.4375,0.00066011055006743,,16,0.40910327434539795,33795
109,366,11.4375,0.011550121453200028,,16,0.5327557325363159,33795
110,282,8.8125,0.2640044894300991,,16,0.01883806847035885,33795
111,430,13.4375,0.15510025300000035,,16,0.4104604721069336,33795
112,322,10.0625,8.800015422660223,,15,0.0425698384642601,33795
113,274,8.5625,0.012430176018866567,,16,0.1964808702468872,33795
114,328,10.25,1.4432000011000337e-05,,16,0.004719885997474194,33795
115,510,15.9375,10.065660176000035,,16,0.7929720282554626,33795
116,460,14.375,0.177760198000002,,16,0.6972538232803345,33795
117,424,13.25,0.16500013201661168,,16,0.7127712965011597,33795
118,242,7.5625,13.288017776000155,,15,0.009625738486647606,33795
119,216,6.75,1.430000220001981e-05,,16,0.6324553489685059,33795
120,348,10.875,0.17787335577014515,,16,0.553692638874054,33795
121,344,10.75,0.09900000198660171,,16,0.332548052072525,33795
122,362,11.3125,0.2539900770154001,,16,0.4471628665924072,33795
123,392,12.25,0.18701980044550004,,16,0.7137070894241333,33795
124,436,13.625,0.04400000044019805,,16,0.3742426633834839,33795
125,418,13.0625,1.1000000672100003,,16,0.4842221736907959,33795
126,434,13.5625,0.002648900448789101,,16,0.5661681890487671,33795
127,266,8.3125,0.15511665521018833,,15,0.0017295912839472294,33795
128,254,7.9375,2.200003301320002,,16,0.19397860765457153,33795
129,294,9.1875,2.0900016500026676e-07,,16,0.021852565929293633,33795
130,316,9.875,0.15401980055000006,,16,0.2967778146266937,33795
131,318,9.9375,5.555014301473221e-06,,16,0.01320709753781557,33795
132,358,11.1875,8.933320000990001,,16,0.6114866137504578,33795
133,338,10.5625,11.143000000018702,,16,0.01767495647072792,33795
134,330,10.3125,0.0013266770000017844,,16,0.2009846419095993,33795
135,232,7.25,1.3255001166026407e-05,,16,0.010840638540685177,33795
136,324,10.125,4.532000000012188,,16,0.5846142172813416,33795
137,374,11.6875,14.4100000550198,,16,0.001850011060014367,33795
138,426,13.3125,0.0018856092200000311,,16,0.6046121120452881,33795
139,192,6.0,4.554002200000055,,16,0.04238615185022354,33795
140,416,13.0,0.011330132000001984,,16,0.2998638153076172,33795
141,362,11.3125,1.1559901555532013,,16,0.03117060661315918,33795
142,448,14.0,9.900774401443341,,16,0.4165112376213074,33795
143,422,13.1875,0.18821020900000204,,16,0.6888481378555298,33795
144,462,14.4375,0.0018822980055016815,,16,0.1818229705095291,33795
145,442,13.8125,0.13255020901552106,,16,0.01103265956044197,33795
146,336,10.5,4.400000000014301,,16,0.6739083528518677,33795
147,384,12.0,5.6554300017776,,16,0.006250586826354265,33795
148,350,10.9375,0.16522002201883215,,16,0.6798189282417297,33795
149,322,10.0625,0.1883344547700661,,16,0.011199163272976875,33795
150,350,10.9375,0.0017622009901996625,,16,0.0107541773468256,33795
151,342,10.6875,0.0023122000198016746,,16,0.5699372291564941,33795
152,354,11.0625,0.044016666222177044,,16,0.7029269933700562,33795
153,446,13.9375,0.18854782111000187,,16,0.024428360164165497,33795
154,286,8.9375,1.7733540110020912e-09,,15,0.1643964797258377,33795
155,300,9.375,8.910990001884299,,16,0.7240668535232544,33795
156,276,8.625,0.0006600110001555643,,16,0.13933071494102478,33795
157,256,8.0,0.00022004488000055032,,16,0.013329755514860153,33795
158,294,9.1875,0.13256334355661137,,16,0.24264615774154663,33795
159,336,10.5,3.3330022017601215,,16,0.04367849975824356,33795
160,346,10.8125,14.300014300000196,,16,0.5372923016548157,33795
161,260,8.125,1.2325522000000002,,16,0.628254234790802,33795
162,364,11.375,12.232018865220208,,16,0.012990967370569706,33795
163,270,8.4375,0.06600550000000169,,15,0.12218455970287323,33795
164,256,8.0,7.701665544214401,,15,0.057050444185733795,33795
165,184,5.75,5.5000022000002445e-08,,16,0.12436522543430328,33795
166,370,11.5625,0.06700104488550189,,16,0.4252738952636719,33795
167,350,10.9375,0.08888990055004402,,16,0.1949426680803299,33795
168,236,7.375,1.1112200440023101,,16,0.06338783353567123,33795
169,374,11.6875,7.832003300676599,,16,0.003419321496039629,33795
170,392,12.25,0.2537700559900564,,16,0.006862320937216282,33795
171,406,12.6875,0.209670000430132,,16,0.6549278497695923,33795
172,286,8.9375,1.1000143013202424,,16,0.0014731669798493385,33795
173,440,13.75,11.155552188019957,,16,0.5501406788825989,33795
174,382,11.9375,0.2537700440055674,,16,0.13914215564727783,33795
175,262,8.1875,13.2018700000055,,15,0.6862311959266663,33795
176,350,10.9375,0.11000000177430001,,16,0.0646156519651413,33795
177,230,7.1875,11.000003323320088,,16,0.6855882406234741,33795
178,244,7.625,0.0025301659901430006,,16,0.2592657208442688,33795
179,476,14.875,0.0003377018821006801,,16,0.6280615329742432,33795
180,422,13.1875,12.232007778000998,,16,0.3643907308578491,33795
181,346,10.8125,12.243990001775455,,16,0.027604790404438972,33795
182,260,8.125,0.023430176880055033,,16,0.006194734480232,33795
183,474,14.8125,0.0018701651102640434,,16,0.05576618015766144,33795
184,514,16.0625,0.00011004521000202205,,16,0.10412968695163727,33795
185,396,12.375,14.300220002647702,,16,0.056398656219244,33795
186,226,7.0625,0.0018700007700005726,,15,0.007298803888261318,33795
187,382,11.9375,0.0018799014300233592,,16,0.13688187301158905,33795
188,276,8.625,6.601210000440003,,16,0.0016912359278649092,33795
189,438,13.6875,0.001870000016500026,,16,0.4586814045906067,33795
190,242,7.5625,1.4476000166980235e-05,,16,0.35259148478507996,33795
191,310,9.6875,4.400000177990011,,15,0.020068462938070297,33795
192,382,11.9375,1.100000000019978,,15,0.38665762543678284,33795
193,238,7.4375,6.622000000550005e-06,,16,0.7001083493232727,33795
