episode,cumulative_reward,average_reward,discounted_reward,q_value_change,sample_efficiency,policy_entropy,space_complexity
0,404,12.625,11.001980220990163,7.716321796178818,16,1.0921738147735596,33795
1,334,10.4375,0.08800000000772201,15.69477203435963,16,1.0424319505691528,33795
2,282,8.8125,0.1982200011000441,7.658837985247374,16,0.8858288526535034,33795
3,434,13.5625,41.80012001000019,10.293064521771157,16,0.9804423451423645,33795
4,456,14.25,2.1088437701447896e-05,513.5946551281959,16,0.8329135179519653,33795
5,410,12.8125,9.90001892099,188.30494224093854,16,0.4403635859489441,33795
6,406,12.6875,19.921660000017777,127.5516006834805,16,0.637871265411377,33795
7,392,12.25,39.601441001323295,341.89673963934183,16,0.7641908526420593,33795
8,330,10.3125,31.977672100000003,308.31483593583107,16,0.16441595554351807,33795
9,420,13.125,13.3441000454487,204.72207154333591,15,0.27972397208213806,33795
10,310,9.6875,0.23188220044440008,292.46795666217804,16,0.8633807897567749,33795
11,240,7.5,3.3784432012277447e-06,326.6732322778553,16,0.2785080671310425,33795
12,152,4.75,0.02200003355017604,195.9329268336296,16,0.4685245752334595,33795
13,360,11.25,4.400006644000155,160.38177406787872,16,0.20099101960659027,33795
14,290,9.0625,18.7000198000176,173.77164776995778,16,0.4926525354385376,33795
15,350,10.9375,12.265023211550002,210.13429569080472,16,0.21013858914375305,33795
16,474,14.8125,33.000000165017596,226.6242519915104,16,0.12262424826622009,33795
17,390,12.1875,23.177221100000004,265.6523287296295,16,0.09249590337276459,33795
18,306,9.5625,1.980154016667641e-05,299.3835697621107,16,0.6260142922401428,33795
19,238,7.4375,0.18810000231000193,366.24149522930384,15,0.4438721537590027,33795
20,476,14.875,0.16599000001430173,230.19695330504328,16,0.0705554187297821,33795
21,370,11.5625,22.09902097778548,243.15487533062696,16,0.2680822014808655,33795
22,360,11.25,18.700017600024275,301.69707252969965,15,0.24172177910804749,33795
23,426,13.3125,19.80188430001219,213.36312140151858,16,0.6896377801895142,33795
24,474,14.8125,16.502640144446623,452.4533334970474,16,0.6968254446983337,33795
25,354,11.0625,0.17601217788002207,145.21635468304157,16,0.5430691242218018,33795
26,340,10.625,0.06622000177320145,101.90784231573343,16,0.6824439764022827,33795
27,388,12.125,39.743015510000205,420.6432839855552,16,0.04578837379813194,33795
28,232,7.25,3.3220198659999998,111.64516354491934,16,0.03768439590930939,33795
29,370,11.5625,0.143000198027501,261.5041015148163,16,0.8142471313476562,33795
30,450,14.0625,0.0017600000198016716,91.33834353089333,16,0.7411102056503296,33795
31,420,13.125,2.201540002758932,300.0177501216531,16,0.3477930426597595,33795
32,328,10.25,18.702092255016495,107.70633272081614,15,0.48800867795944214,33795
33,490,15.3125,0.16666223332000027,172.34063144680113,16,0.11164321005344391,33795
34,376,11.75,0.001662100018700997,363.7433314444497,16,0.702145516872406,33795
35,334,10.4375,0.0019800014366561226,152.14254352636635,16,0.4084845185279846,33795
36,414,12.9375,11.166443355440999,387.084922731854,16,1.3396238500718027e-06,33795
37,368,11.5,8.8000055014432,209.10042196512222,16,0.7025790214538574,33795
38,316,9.875,0.1765632000001766,300.5980309424922,16,0.4124760627746582,33795
39,378,11.8125,0.22000660000000183,121.89174078218639,16,0.12976714968681335,33795
40,466,14.5625,0.19866018854000272,188.9571934044361,16,0.7549576163291931,33795
41,334,10.4375,8.888018876017755,209.74447275698185,16,0.0005596552509814501,33795
42,432,13.5,21.0650177100143,254.44227302074432,16,0.4510626792907715,33795
43,478,14.9375,16.50165559900018,319.48794580763206,16,0.09910659492015839,33795
44,252,7.875,1.4432000177210008e-05,128.11684446688741,15,0.17809541523456573,33795
45,368,11.5,0.002750099000165441,139.06743977963924,16,0.5351063013076782,33795
46,394,12.3125,0.14300019802095507,453.07284021377563,16,0.04015564173460007,33795
47,346,10.8125,16.6112100000012,377.79783457517624,16,0.3026723861694336,33795
48,254,7.9375,14.300018788000001,160.16884911432862,16,1.7085209691458658e-08,33795
49,298,9.3125,6.601760143000156,321.63129146397114,16,0.30478429794311523,33795
50,334,10.4375,8.80000019800001e-06,306.2370457313955,16,0.055987462401390076,33795
51,310,9.6875,0.14410660002090156,250.95362448319793,16,0.06512320786714554,33795
52,436,13.625,0.2530000007767554,350.8617283962667,16,0.09679757058620453,33795
53,516,16.125,0.16610000154550192,250.3412440866232,16,0.12102767825126648,33795
54,488,15.25,22.088000000026398,245.6779832392931,16,0.10747529566287994,33795
55,422,13.1875,0.1983377001101431,122.29995368421078,16,0.685173749923706,33795
56,264,8.25,0.24310000033000007,567.9785374207422,15,0.005593160167336464,33795
57,420,13.125,8.955760166990043,498.2913801372051,16,0.0799529179930687,33795
58,394,12.3125,1.8701995554990012e-05,227.81696606171317,16,1.912122570502106e-05,33795
59,168,5.25,0.18700990044000007,249.72806500643492,15,0.24654972553253174,33795
60,234,7.3125,0.06600002201980007,107.00854626018554,16,0.7165473699569702,33795
61,370,11.5625,19.9769956210033,134.74103114614263,16,1.762461215548683e-05,33795
62,466,14.5625,30.844000110000202,188.22835105657578,16,0.6972504258155823,33795
63,208,6.5,3.3000011000000002,143.2812040001154,16,0.5698899626731873,33795
64,260,8.125,9.901980265111,452.20058329962194,16,0.34739476442337036,33795
65,400,12.5,0.177760110675587,184.59112906455994,16,0.605454683303833,33795
66,262,8.1875,9.900000033005535,111.74106396257412,16,0.02525484934449196,33795
67,286,8.9375,8.802200077231236e-06,277.9142091870308,16,0.2756400406360626,33795
68,342,10.6875,13.299018700000198,432.161899022758,16,0.022991331294178963,33795
69,492,15.375,0.20966000166439905,203.66999460570514,16,0.1446734070777893,33795
70,504,15.75,33.01100454411329,373.74593215528876,16,0.060586780309677124,33795
71,442,13.8125,0.0014300220000015647,176.4411146271741,16,0.2922847270965576,33795
72,304,9.5,3.300330001650232e-06,462.99948598630726,16,0.33660995960235596,33795
73,278,8.6875,0.00011000000995500026,200.71785548795015,15,1.3840377732776687e-07,33795
74,366,11.4375,23.101430044003298,162.10870468616486,16,0.042037028819322586,33795
75,270,8.4375,0.0015565005500017604,152.69581254199147,15,0.9395121335983276,33795
76,412,12.875,25.466430132,330.8504967391491,16,0.7995713949203491,33795
77,332,10.375,0.00011000000550022052,317.87492883205414,15,0.6063054800033569,33795
78,444,13.875,0.16665019987024282,152.46044628322124,16,0.19454264640808105,33795
79,418,13.0625,11.000343201980177,66.26920494250953,16,0.19447185099124908,33795
80,490,15.3125,24.2019899,200.6237494647503,16,0.6471925377845764,33795
81,432,13.5,42.90066012156224,161.6098284125328,16,0.5517158508300781,33795
82,420,13.125,5.5448922223432576e-06,61.0095962267369,16,0.13892769813537598,33795
83,308,9.625,8.80155541100019,125.54681427031755,16,0.3336331248283386,33795
84,426,13.3125,14.3002200011,121.18328763358295,16,0.06945687532424927,33795
85,318,9.9375,2.0900220145226413e-07,177.25611597299576,16,0.21443936228752136,33795
86,416,13.0,0.2642277011089439,108.90058356523514,16,0.06153145805001259,33795
87,324,10.125,0.15400000000000127,123.32396357133985,16,0.01333712600171566,33795
88,314,9.8125,0.06600009967328802,135.0916471965611,16,0.39625200629234314,33795
89,468,14.625,0.0016622005400011007,200.37055858410895,16,0.19355854392051697,33795
90,378,11.8125,0.0014301320132000237,293.24614456295967,15,0.07126204669475555,33795
91,258,8.0625,2.5377022011880027e-07,272.6651291847229,16,0.07826588302850723,33795
92,318,9.9375,0.13200005500007725,203.7028946429491,16,0.07683929800987244,33795
93,328,10.25,0.14301980000550257,385.9169289506972,16,0.7760471105575562,33795
94,364,11.375,13.2990165000099,140.23286793380976,16,0.28686437010765076,33795
95,420,13.125,0.18843019943000017,177.9298686236143,16,0.07983103394508362,33795
96,428,13.375,0.0017602420002535725,164.7433070242405,16,0.2839541733264923,33795
97,322,10.0625,6.602530176023102,361.5706570148468,16,0.29809704422950745,33795
98,358,11.1875,0.08855776600019803,300.74014711007476,16,0.36851122975349426,33795
99,328,10.25,0.14300000055006606,133.20204612985253,16,0.30087149143218994,33795
100,272,8.5,1.6500000001688724e-05,102.1887433603406,16,0.38494622707366943,33795
101,388,12.125,41.8220198000154,322.3243101686239,16,0.5797118544578552,33795
102,286,8.9375,13.3107777,170.80732608120888,16,0.0005340373609215021,33795
103,394,12.3125,0.20978210165000213,179.12337982654572,15,0.6556861996650696,33795
104,448,14.0,18.832000000018834,314.7588792666793,15,6.417632539523765e-05,33795
105,378,11.8125,0.16500000220880004,242.98103607073426,16,0.1676054745912552,33795
106,422,13.1875,9.90001430056223,132.69246202893555,16,0.7057035565376282,33795
107,422,13.1875,20.900018887770184,230.36647036671638,16,0.1464439034461975,33795
108,388,12.125,13.200015543220001,128.50112177431583,16,0.5931820869445801,33795
109,286,8.9375,12.100003300006602,215.65540672838688,16,0.11715176701545715,33795
110,460,14.375,25.30012100000993,348.8731695115566,16,0.2694459557533264,33795
111,320,10.0,20.901884466760002,257.1386570930481,16,0.3845469653606415,33795
112,388,12.125,4.521007744024201,164.76966160535812,16,0.28101593255996704,33795
113,416,13.0,0.1768800016501431,132.57241132855415,16,0.22122254967689514,33795
114,256,8.0,5.501870001107809,389.81156995892525,16,0.4773602783679962,33795
115,332,10.375,14.300000000000212,130.56875610537827,16,0.16703195869922638,33795
116,456,14.25,0.15521019943000003,126.94353802804835,16,0.5056830048561096,33795
117,402,12.5625,40.84421016633108,253.5570468159858,16,0.0033939878921955824,33795
118,372,11.625,19.801446687000166,302.4503272646107,16,0.2767290472984314,33795
