episode,step,state,action,reward,next_state,terminated,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_consistency,policy_entropy,time_complexity,space_complexity
28,16,[7. 2.],,,,True,232,7.25,3.3220198659999998,2.3333333333333335,32,1.0,0.03768439590930939,0.0007300376892089844,33795
29,16,[65. 16.],,,,True,370,11.5625,0.143000198027501,-1.6666666666666667,32,1.0,0.8142471313476562,0.000732421875,33795
30,16,[43.  0.],,,,True,450,14.0625,0.0017600000198016716,-0.1111111111111111,32,1.0,0.7411102056503296,0.0007903575897216797,33795
31,16,[28. 22.],,,,True,420,13.125,2.201540002758932,1.8888888888888888,32,1.0,0.3477930426597595,0.0006771087646484375,33795
32,16,[45. 43.],,,,True,328,10.25,18.702092255016495,3.0,32,1.0,0.48800867795944214,0.0008976459503173828,33795
33,16,[ 0. 38.],,,,True,490,15.3125,0.16666223332000027,-2.4444444444444446,32,1.0,0.11164321005344391,0.0008001327514648438,33795
34,16,[51. 40.],,,,True,376,11.75,0.001662100018700997,2.6666666666666665,32,1.0,0.702145516872406,0.0008630752563476562,33795
35,16,[12. 37.],,,,True,334,10.4375,0.0019800014366561226,2.111111111111111,32,1.0,0.4084845185279846,0.0008087158203125,33795
36,16,[0. 3.],,,,True,414,12.9375,11.166443355440999,0.0,32,1.0,1.3396238500718027e-06,0.0009021759033203125,33795
37,16,[39. 38.],,,,True,368,11.5,8.8000055014432,1.0,32,1.0,0.7025790214538574,0.0009200572967529297,33795
38,16,[9. 7.],,,,True,316,9.875,0.1765632000001766,2.2222222222222223,32,1.0,0.4124760627746582,0.0011050701141357422,33795
39,16,[28. 33.],,,,True,378,11.8125,0.22000660000000183,-2.5555555555555554,32,1.0,0.12976714968681335,0.0008771419525146484,33795
40,16,[50. 46.],,,,True,466,14.5625,0.19866018854000272,0.8888888888888888,32,1.0,0.7549576163291931,0.0017535686492919922,33795
41,16,[0. 2.],,,,True,334,10.4375,8.888018876017755,-2.0,32,1.0,0.0005596552509814501,0.0009229183197021484,33795
42,16,[ 7. 45.],,,,True,432,13.5,21.0650177100143,0.0,32,1.0,0.4510626792907715,0.00089263916015625,33795
43,16,[8. 3.],,,,True,478,14.9375,16.50165559900018,0.4444444444444444,32,1.0,0.09910659492015839,0.0010371208190917969,33795
44,16,[11. 34.],,,,True,252,7.875,1.4432000177210008e-05,-0.3333333333333333,32,1.0,0.17809541523456573,0.0008139610290527344,33795
45,16,[ 9. 15.],,,,True,368,11.5,0.002750099000165441,-1.7777777777777777,32,1.0,0.5351063013076782,0.0012431144714355469,33795
46,16,[ 0. 33.],,,,True,394,12.3125,0.14300019802095507,0.0,32,1.0,0.04015564173460007,0.0009229183197021484,33795
47,16,[ 6. 42.],,,,True,346,10.8125,16.6112100000012,-0.1111111111111111,32,1.0,0.3026723861694336,0.0007927417755126953,33795
