episode,step,state,action,reward,next_state,terminated,cumulative_reward,average_reward,discounted_reward,convergence_rate,sample_efficiency,policy_consistency,policy_entropy,time_complexity,space_complexity
0,16,[17.  7.],,,,True,1294,40.4375,37.40737075163073,-3.6666666666666665,32,1.0,1.0921738147735596,0.0013179779052734375,33795
1,16,[15. 19.],,,,True,1210,37.8125,0.6996666600696411,4.333333333333333,32,1.0,1.0424319505691528,0.001329660415649414,33795
2,16,[ 0. 41.],,,,True,1128,35.25,0.7436660071063412,0.0,32,1.0,0.8858288526535034,0.0006434917449951172,33795
3,16,[ 9. 33.],,,,True,1068,33.375,83.16333667400039,-0.2222222222222222,32,1.0,0.9804423451423645,0.0006439685821533203,33795
4,16,[10. 33.],,,,True,1196,37.375,4.1114185207223384e-05,-3.888888888888889,32,1.0,0.2603260278701782,0.0012357234954833984,33795
5,16,[73. 36.],,,,True,1298,40.5625,36.30004145499599,-0.8888888888888888,32,1.0,0.022552859038114548,0.0010862350463867188,33795
6,16,[10. 41.],,,,True,1176,36.75,41.40758666004,-4.333333333333333,32,1.0,0.5927425622940063,0.0015277862548828125,33795
7,16,[ 4. 41.],,,,True,1234,38.5625,81.40388740718475,0.2222222222222222,32,1.0,0.04641588404774666,0.0014524459838867188,33795
8,16,[ 0. 14.],,,,True,1206,37.6875,78.785558066666,0.0,32,1.0,1.339722984994296e-06,0.0040435791015625,33795
9,16,[ 2. 46.],,,,True,1184,37.0,38.888806344923694,-3.3333333333333335,32,1.0,0.00028246553847566247,0.0014793872833251953,33795
10,16,[49.  3.],,,,True,1316,41.125,0.7516966634777601,3.3333333333333335,32,1.0,0.24778178334236145,0.0013842582702636719,33795
11,16,[ 3. 11.],,,,True,810,25.3125,6.745588740711303e-05,4.333333333333333,32,1.0,0.046851035207509995,0.0008456707000732422,33795
12,16,[ 0. 49.],,,,True,778,24.3125,0.6776006745207264,0.0,32,1.0,0.0002044960274361074,0.0009019374847412109,33795
13,16,[0. 4.],,,,True,1288,40.25,34.76347820715072,-8.222222222222221,32,1.0,0.00016052719729486853,0.0008270740509033203,33795
14,16,[7. 3.],,,,True,772,24.125,39.600040700039614,-0.1111111111111111,32,1.0,0.08569872379302979,0.0007781982421875,33795
15,16,[ 9. 30.],,,,True,1032,32.25,38.126075181186664,-3.5555555555555554,32,1.0,0.023799652233719826,0.0008347034454345703,33795
16,16,[13.  5.],,,,True,1028,32.125,79.20000072603959,-0.1111111111111111,32,1.0,0.2960544228553772,0.0008699893951416016,33795
17,16,[18. 22.],,,,True,992,31.0,75.169743,8.444444444444445,32,1.0,0.04439523071050644,0.0009253025054931641,33795
18,16,[2. 7.],,,,True,658,20.5625,4.070385040003591e-05,4.333333333333333,32,1.0,0.0005406841519288719,0.0009088516235351562,33795
19,16,[ 0. 24.],,,,True,634,19.8125,0.7407400074800042,0.0,32,1.0,0.00025343557354062796,0.00089263916015625,33795
20,16,[35. 20.],,,,True,1266,39.5625,0.4029966600385042,-0.5555555555555556,32,1.0,0.10913165658712387,0.000911712646484375,33795
21,16,[ 0. 23.],,,,True,1220,38.125,75.49307438566917,0.0,32,1.0,1.5856210666242987e-05,0.0008866786956787109,33795
22,16,[ 6. 19.],,,,True,978,30.5625,74.36003960007515,4.333333333333333,32,1.0,0.00020677255815826356,0.0007596015930175781,33795
23,16,[43. 39.],,,,True,1004,31.375,40.70399850007076,7.888888888888889,32,1.0,0.07196875661611557,0.0008749961853027344,33795
24,16,[9. 1.],,,,True,1082,33.8125,39.60759038888998,0.0,32,1.0,0.00013350130757316947,0.0008037090301513672,33795
25,16,[ 6. 17.],,,,True,1092,34.125,0.39607075563066685,4.555555555555555,32,1.0,0.019249655306339264,0.0009520053863525391,33795
26,16,[ 2. 31.],,,,True,972,30.375,0.6887760039985039,8.777777777777779,32,1.0,1.5520337228736025e-06,0.0010001659393310547,33795
27,16,[ 0. 21.],,,,True,1048,32.75,81.78507187400041,-8.0,32,1.0,4.399729004944675e-05,0.0008265972137451172,33795
28,16,[7. 2.],,,,True,1228,38.375,67.43007405866663,4.222222222222222,32,1.0,0.00010322952584829181,0.0008335113525390625,33795
29,16,[ 0. 13.],,,,True,1010,31.5625,0.38500040707700706,-4.222222222222222,32,1.0,2.1761070456705056e-05,0.0008420944213867188,33795
30,16,[43.  0.],,,,True,1330,41.5625,70.4075474520407,0.0,32,1.0,0.6960198879241943,0.0006971359252929688,33795
31,16,[28. 22.],,,,True,1122,35.0625,67.10385000773701,4.111111111111111,32,1.0,0.15308716893196106,0.0007784366607666016,33795
32,16,[45. 43.],,,,True,968,30.25,39.60743745203961,7.888888888888889,32,1.0,0.09370742738246918,0.0008380413055419922,33795
33,16,[ 0. 38.],,,,True,1208,37.75,0.39999777774066336,-4.222222222222222,32,1.0,0.00025762521545402706,0.0008456707000732422,33795
34,16,[51. 40.],,,,True,1044,32.625,0.003997400040706999,7.666666666666667,32,1.0,0.23958942294120789,0.0009732246398925781,33795
35,16,[12. 37.],,,,True,1030,32.1875,0.0040700072185558146,4.111111111111111,32,1.0,0.002244706731289625,0.0007843971252441406,33795
36,16,[0. 3.],,,,True,1110,34.6875,37.79988779196475,0.0,32,1.0,0.6829032897949219,0.0007350444793701172,33795
37,16,[39. 38.],,,,True,1164,36.375,36.300068203889154,3.7777777777777777,32,1.0,0.04390127584338188,0.0007691383361816406,33795
38,16,[9. 7.],,,,True,842,26.3125,0.729557400000403,4.222222222222222,32,1.0,0.016792969778180122,0.0008161067962646484,33795
39,16,[28. 33.],,,,True,1284,40.125,0.7480688666000042,-4.333333333333333,32,1.0,0.005658074282109737,0.0007941722869873047,33795
40,16,[50. 46.],,,,True,1256,39.25,0.4138203998500076,3.7777777777777777,32,1.0,0.031630147248506546,0.0007636547088623047,33795
41,16,[0. 2.],,,,True,966,30.1875,69.66304142604031,-4.111111111111111,32,1.0,5.518671741810977e-07,0.0008854866027832031,33795
42,16,[ 7. 45.],,,,True,1232,38.5,41.42603997403917,0.3333333333333333,32,1.0,0.015123552642762661,0.0010123252868652344,33795
43,16,[8. 3.],,,,True,1262,39.4375,39.607295563000406,0.2222222222222222,32,1.0,0.0038463296368718147,0.0008273124694824219,33795
44,16,[11. 34.],,,,True,576,18.0,3.8874000399740016e-05,-0.2222222222222222,32,1.0,0.0003413257363718003,0.0009505748748779297,33795
45,16,[ 9. 15.],,,,True,1104,34.5,0.007700699600402711,-4.0,32,1.0,0.01881096139550209,0.0007941722869873047,33795
46,16,[ 0. 33.],,,,True,874,27.3125,0.3850004070413822,0.0,32,1.0,2.4304254111484624e-05,0.0007154941558837891,33795
47,16,[ 6. 42.],,,,True,1394,43.5625,39.9778066666337,-0.1111111111111111,32,1.0,0.0003399339329916984,0.0008330345153808594,33795
48,16,[0. 7.],,,,True,1120,35.0,38.50004139966666,-4.222222222222222,32,1.0,2.070954865929231e-11,0.0009188652038574219,33795
49,16,[ 0. 44.],,,,True,712,22.25,35.20726038500039,-8.666666666666666,32,1.0,0.0001223666622536257,0.0008056163787841797,33795
50,16,[ 6. 44.],,,,True,970,30.3125,66.66333630000074,-4.555555555555555,32,1.0,1.7937014717972488e-06,0.0008304119110107422,33795
51,16,[ 0. 26.],,,,True,778,24.3125,0.3920752000407039,0.0,32,1.0,2.087132088490762e-06,0.0010159015655517578,33795
